h3_id,dimension,quantity
891f99cc34fffff,S_servicos,1
891f99cca5bffff,U_urbanidade,2
891f99ccac3ffff,S_abastecimento,3
891f99ccad3ffff,S_abastecimento,7
891f99ccad3ffff,U_urbanidade,1
891f99cd80fffff,S_educacao,1
891f99cd813ffff,S_lazer,1
891f99cd823ffff,S_abastecimento,1
891f99cd827ffff,S_educacao,3
891f99cd83bffff,S_educacao,1
891f99cd857ffff,S_educacao,2
891f99cd88bffff,S_lazer,1
891f99cd89bffff,S_lazer,1
891f99cd8c3ffff,S_lazer,5
891f99cd8c7ffff,S_lazer,4
891f99cd8cfffff,S_educacao,4
891f99cd8d7ffff,S_lazer,1
891f99cd90bffff,U_urbanidade,3
891f99cd913ffff,U_urbanidade,2
891f99cd91bffff,U_urbanidade,4
891f99cd953ffff,S_educacao,1
891f99cd95bffff,S_educacao,1
891f99cd983ffff,S_saude,4
891f99cd98fffff,S_saude,9
891f99cd98fffff,U_urbanidade,1
891f99cd99bffff,S_saude,5
891f99cd9dbffff,S_educacao,1
891f99cdca3ffff,S_servicos,3
891f99cdca3ffff,T_transporte,4
891f99cdcb3ffff,S_servicos,2
891f99cdcb7ffff,S_servicos,9
891f99cdcb7ffff,T_transporte,7
891f99cdcbbffff,S_servicos,1
891f99cdda7ffff,S_abastecimento,3
891f99cddafffff,S_abastecimento,1
