h3_id,dimension,quantity
891f99cc34fffff,T_transporte,2
891f99cc36fffff,T_transporte,1
891f99cc377ffff,T_transporte,1
891f99ccad3ffff,S_educacao,1
891f99ccad3ffff,T_transporte,1
891f99ccadbffff,S_educacao,1
891f99ccadbffff,T_transporte,3
891f99cd80bffff,T_transporte,4
891f99cd823ffff,T_transporte,5
891f99cd827ffff,T_transporte,2
891f99cd82fffff,T_transporte,6
891f99cd837ffff,T_transporte,3
891f99cd8a3ffff,S_educacao,1
891f99cd8a3ffff,T_transporte,1
891f99cd91bffff,S_educacao,1
891f99cd947ffff,S_educacao,1
891f99cd95bffff,S_educacao,6
891f99cd95bffff,T_transporte,1
891f99cd983ffff,T_transporte,1
891f99cd99bffff,S_educacao,1
891f99cd9b3ffff,T_transporte,1
891f99cd9c3ffff,S_educacao,1
891f99cd9c3ffff,T_transporte,1
891f99cd9c7ffff,T_transporte,1
891f99cd9dbffff,T_transporte,4
891f99cdb93ffff,T_transporte,1
891f99cdc2fffff,S_educacao,1
891f99cdc37ffff,T_transporte,1
891f99cdc63ffff,S_educacao,1
891f99cdcb3ffff,S_educacao,2
891f99cdcb3ffff,T_transporte,3
891f99cdcb7ffff,S_educacao,1
891f99cdcb7ffff,T_transporte,2
891f99cdd03ffff,T_transporte,1
891f99cdd23ffff,T_transporte,7
891f99cdd2bffff,T_transporte,3
891f99cdd53ffff,T_transporte,1
891f99cdd67ffff,T_transporte,1
891f99cdd77ffff,S_educacao,4
891f99cdd77ffff,T_transporte,1
891f99cdd8bffff,S_educacao,6
891f99cdd8bffff,T_transporte,3
891f99cddb7ffff,S_educacao,1
891f99cddcbffff,T_transporte,3
891f99cddd3ffff,T_transporte,1
891f99cddd7ffff,T_transporte,4
891f99cdddbffff,T_transporte,1
